seller_id,seller_state,total_orders,total_revenue,avg_delivery_days,avg_review_score,late_rate_pct
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1117,247937.8,14.6,4.16,11.64
7c67e1448b00f6e969d365cea6b010ab,SP,966,235963.73,22.0,3.5,10.14
4a3ca9315b744ce9f8e9374361493884,SP,1726,233557.9,14.1,3.89,11.24
53243585a1d6dc2643021fd1853d8905,BA,348,230797.03,13.0,4.19,4.31
fa1c13f2614d7b5c4749cbc52fecda94,SP,571,200044.11,12.9,4.39,10.33
da8622b14eb17ae2831f4ac5b9dab84a,SP,1295,185870.2,10.8,4.19,7.72
1025f0e2d44d7041d6cf58b6550e0bfa,SP,898,172783.31,12.0,4.02,10.24
7e93a43ef30c4f03f38b393420bc753a,SP,318,171567.13,10.8,4.38,5.66
7a67c85e85bb2ce8582c35f2203ad736,SP,1135,161293.48,10.8,4.3,5.99
955fee9216a65b617aa5c0531780ce60,SP,1255,156734.26,10.3,4.21,7.81
6560211a19b47992c3666cc44a7e94c0,SP,1809,149348.93,9.1,3.99,6.41
1f50f920176fa81dab994f9023523100,SP,1384,142398.91,15.4,4.16,10.69
46dc3b2cc0980fb8ec44634e21d2718e,RJ,501,133841.56,11.5,4.29,6.59
a1043bafd471dff536d0c462352beb48,MG,699,130620.46,13.2,4.28,5.72
cc419e0650a3c5ba77189a1882b7556a,SP,1648,127218.18,11.1,4.16,6.13
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,720,126433.34,12.4,4.31,10.0
5dceca129747e92ff8ef7a997dc4f8ca,SP,321,124040.46,11.1,4.01,6.23
7d13fca15225358621be4086e1eb0964,SP,555,122805.41,15.3,4.05,12.25
3d871de0142ce09b7081e2b9d1733cb1,SP,1052,115738.35,13.1,4.2,5.99
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,165,83295.06,11.4,4.44,7.88
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,183,77914.1,15.4,4.34,7.65
cca3071e3e9bb7d12640c9fbe2301306,SP,675,75466.61,13.8,3.94,5.78
8581055ce74af1daba164fdbd55a40de,SP,378,73317.32,12.6,4.31,10.05
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,216,72726.33,13.0,4.23,15.74
fe2032dab1a61af8794248c8196565c9,SP,292,70891.97,10.3,4.4,8.9
de722cd6dad950a92b7d4f82673f8833,PE,337,65046.68,12.3,4.3,4.45
f8db351d8c4c4c22c6835c19a46f01b0,SP,652,62524.13,9.4,4.29,5.21
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,325,62435.93,12.3,4.03,8.62
04308b1ee57b6625f47df1d56f00eedf,SC,92,61940.62,18.4,3.95,11.96
218d46b86c1881d022bce9c68a7d4b15,SP,376,61292.53,13.6,4.19,9.57
522620dcb18a6b31cd7bdf73665113a9,PR,171,61232.84,14.9,3.92,10.53
37be5a7c751166fbc5f8ccba4119e043,SP,269,60787.4,10.2,4.33,2.6
17e34d8224d27a541263c4c64b11a56b,SP,246,59384.77,13.7,4.26,8.54
ceaec5548eefc6e23e6607c5435102e7,SP,197,57593.89,12.6,4.2,6.09
25c5c91f63607446a97b143d2d535d31,MG,148,57383.68,14.3,3.95,7.43
17f51e7198701186712e53a39c564617,SP,55,56576.7,22.7,4.35,9.09
b2ba3715d723d245138f291a6fe42594,SP,323,55692.29,13.6,4.21,8.98
f5a590cf36251cf1162ea35bef76fe84,SP,113,55366.96,11.3,4.27,10.62
e882b2a25a10b9c057cc49695f222c19,RJ,57,53913.76,9.1,4.58,0.0
ea8482cd71df3c1969d7b9473ff13abc,SP,1122,53803.69,12.9,4.04,10.52
77530e9772f57a62c906e1c21538ab82,PR,305,53766.98,14.6,4.19,11.8
8160255418d5aaa7dbdc9f4c64ebda44,SP,368,53762.47,15.9,3.99,16.85
e9779976487b77c6d4ac45f75ec7afe9,SP,641,52935.88,9.4,4.27,7.33
4e922959ae960d389249c378d1c939f5,SP,412,52615.0,14.0,3.96,10.68
2bf6a2c1e71bbd29a4ad64e6d3c3629f,RJ,30,51629.49,13.1,4.17,10.0
4d6d651bd7684af3fffabd5f08d12e5a,SP,358,50303.37,12.6,4.25,4.75
c826c40d7b19f62a09e2d7c5e7295ee2,SP,345,49985.01,12.9,4.13,9.57
17a053fcb14bd219540cbde0df490be0,SP,124,49466.45,11.9,4.25,8.06
391fc6631aebcf3004804e51b40bcf1e,SP,505,49435.28,14.0,4.07,10.3
d91fb3b7d041e83b64a00a3edfb37e4f,SP,524,49015.61,10.9,4.15,6.3
850f4f8af5ea87287ac68de36e29107f,SP,185,48510.6,9.8,4.31,6.49
c3cfdc648177fdbbbb35635a37472c53,PR,273,48424.41,9.3,4.51,2.56
06a2c3af7b3aee5d69171b0e14f0ee87,MA,388,48073.62,17.3,4.02,23.2
b33e7c55446eabf8fe1a42d037ac7d6d,SP,147,46668.56,15.9,4.22,12.93
eeb6de78f79159600292e314a77cbd18,SC,82,46506.89,11.6,4.44,3.66
966cb4760537b1404caedd472cc610a5,SP,66,46433.23,9.4,4.12,3.03
712e6ed8aa4aa1fa65dab41fed5737e4,SC,77,46149.82,24.3,3.39,22.08
ba90964cff9b9e0e6f32b23b82465f7b,SP,38,45523.5,9.6,4.42,5.26
634964b17796e64304cadf1ad3050fb7,RJ,262,45158.95,14.3,4.08,10.31
7142540dd4c91e2237acb7e911c4eba2,SP,316,44466.88,14.3,4.05,8.23
b839e41795b7f3ad94cc2014a52f6796,SP,33,43749.93,6.3,4.09,3.03
834f3294fba9f932f56edc879193f925,SP,65,43471.45,13.8,4.55,6.15
1835b56ce799e6a4dc4eddc053f04066,SP,394,42013.69,13.0,3.71,12.44
2eb70248d66e0e3ef83659f71b244378,SP,185,41852.92,17.7,2.78,14.05
7299e27ed73d2ad986de7f7c77d919fa,MG,334,41253.08,10.8,4.43,4.79
7178f9f4dd81dcef02f62acdf8151e01,SC,202,41180.43,15.3,4.06,4.95
c70c1b0d8ca86052f45a432a38b73958,SP,259,40223.77,7.7,4.38,8.49
dbc22125167c298ef99da25668e1011f,MG,387,40171.96,11.0,4.35,2.58
